filename,risk_sum
Brusko_1907_TCRB.tsv,-0.07133566448014003
Brusko_1908_TCRB.tsv,-0.07046270693287825
Brusko_1910_TCRB.tsv,-0.07250661024498717
Brusko_1912_TCRB.tsv,-0.07024132514709597
Brusko_19943_TCRB.tsv,-0.0734002628504657
Brusko_19993_TCRB.tsv,-0.06671929586601484
Brusko_20056_TCRB.tsv,-0.06931054570054176
Brusko_20168_TCRB.tsv,-0.061882074497657986
Brusko_20194_TCRB.tsv,-0.06591117735909174
Brusko_20196_TCRB.tsv,-0.06550228426395995
Brusko_20198_TCRB.tsv,-0.06907322635135238
Brusko_20199_TCRB.tsv,-0.0661325678496875
Brusko_2035_TCRB.tsv,-0.06837174964066228
Brusko_20417_TCRB.tsv,-0.07290238975442356
Brusko_20418_TCRB.tsv,-0.06844504846526739
Brusko_20422_TCRB.tsv,-0.0670251304881804
Brusko_20425_TCRB.tsv,-0.07082178794569334
Brusko_2050_TCRB.tsv,-0.07080447294480069
Brusko_2054_TCRB.tsv,-0.07075725614591616
Brusko_2058_TCRB.tsv,-0.0726151574941871
Brusko_20600_TCRB.tsv,-0.07249335675503152
Brusko_20603_TCRB.tsv,-0.059590111111111434
Brusko_20605_TCRB.tsv,-0.07449944080082911
Brusko_20609_TCRB.tsv,-0.0638026862831222
Brusko_20616_TCRB.tsv,-0.06248127402850929
Brusko_20800_TCRB.tsv,-0.07783436628694387
Brusko_20803_TCRB.tsv,-0.06446806357789421
Brusko_20825_TCRB.tsv,-0.06502309130570375
Brusko_20896_TCRB.tsv,-0.06784189917026488
Brusko_20899_TCRB.tsv,-0.06666859779907752
Brusko_20903_TCRB.tsv,-0.07082959894332437
Brusko_20919_TCRB.tsv,-0.0716783195472351
Brusko_20923_TCRB.tsv,-0.06872847852130709
Brusko_20924_TCRB.tsv,-0.05676072944083447
Brusko_21077_TCRB.tsv,-0.062193357617313594
Brusko_21078_TCRB.tsv,-0.05658484478935746
Brusko_21080_TCRB.tsv,-0.055030721747389044
Brusko_2119_TCRB.tsv,-0.06668427508546253
Brusko_2123_TCRB.tsv,-0.06054733035119503
Brusko_21291_TCRB.tsv,-0.07036422081656184
Brusko_21381_TCRB.tsv,-0.0565866219375827
Brusko_2138_TCRB.tsv,-0.07440920696743583
Brusko_2142_TCRB.tsv,-0.06054006401097372
Brusko_21522_TCRB.tsv,-0.07270229934924201
Brusko_21581_TCRB.tsv,-0.07203092288418796
Brusko_21585_TCRB.tsv,-0.07307924739195298
Brusko_21587_TCRB.tsv,-0.06445653378810498
Brusko_21651_TCRB.tsv,-0.07796961842557561
Brusko_21653_TCRB.tsv,-0.06079526518320278
Brusko_21738_TCRB.tsv,-0.0611864710244728
Brusko_21739_TCRB.tsv,-0.059878959772885945
Brusko_21740_TCRB.tsv,-0.06734719641952519
Brusko_21742_TCRB.tsv,-0.07393110027167206
Brusko_21840_TCRB.tsv,-0.07433415134088733
Brusko_21841_TCRB.tsv,-0.06722672694688897
Brusko_21843_TCRB.tsv,-0.06132080166270843
Brusko_21845_TCRB.tsv,-0.07444504704875939
Brusko_21871_TCRB.tsv,-0.07150488493723971
Brusko_21946_TCRB.tsv,-0.06778028944747164
Brusko_21948_TCRB.tsv,-0.06835740092688872
Brusko_2195_TCRB.tsv,-0.06855535938096032
Brusko_21985_TCRB.tsv,-0.06351087005522442
Brusko_21990_TCRB.tsv,-0.06907032227318786
Brusko_22014_TCRB.tsv,-0.06373639002267685
Brusko_22016_TCRB.tsv,-0.07192541534491083
Brusko_22119_TCRB.tsv,-0.05917338820301854
Brusko_22121_TCRB.tsv,-0.06638895493353592
Brusko_22139_TCRB.tsv,-0.06604923917769141
Brusko_22176_TCRB.tsv,-0.0632720054027164
Brusko_22209_TCRB.tsv,-0.06104373157377572
Brusko_22211_TCRB.tsv,-0.06310124292996375
Brusko_22287_TCRB.tsv,-0.06970621912602983
Brusko_22290_TCRB.tsv,-0.06691417483140398
Brusko_22301_TCRB.tsv,-0.0709932805584991
Brusko_2231_TCRB.tsv,-0.0773137545179963
Brusko_22339_TCRB.tsv,-0.06696852826116297
Brusko_2233_TCRB.tsv,-0.07720278378909966
Brusko_22341_TCRB.tsv,-0.06217912391660781
Brusko_22343_TCRB.tsv,-0.06878119170105722
Brusko_22358_TCRB.tsv,-0.05826744117934201
Brusko_22484_TCRB.tsv,-0.0679009392937908
Brusko_22488_TCRB.tsv,-0.061638496623103896
Brusko_22493_TCRB.tsv,-0.06436536739531296
Brusko_22569_TCRB.tsv,-0.07113303234208612
Brusko_22572_TCRB.tsv,-0.07203422403635681
Brusko_22577_TCRB.tsv,-0.07150989258958493
Brusko_22679_TCRB.tsv,-0.07107454496787964
Brusko_22685_TCRB.tsv,-0.07307571503161775
Brusko_22689_TCRB.tsv,-0.06952769885512224
Brusko_22692_TCRB.tsv,-0.07308458438941984
Brusko_22694_TCRB.tsv,-0.05970137601104783
Brusko_2272_TCRB.tsv,-0.06343579387186682
Brusko_22730_TCRB.tsv,-0.07061813108451698
Brusko_22733_TCRB.tsv,-0.062814113911872
Brusko_22735_TCRB.tsv,-0.07338500078529976
Brusko_22764_TCRB.tsv,-0.0764909510687428
Brusko_2287_TCRB.tsv,-0.07045880656741109
Brusko_2289_TCRB.tsv,-0.06073263414634158
Brusko_2298_TCRB.tsv,-0.05381844845099039
Brusko_23022_TCRB.tsv,-0.05923010114519854
Brusko_23023_TCRB.tsv,-0.06879372268573805
Brusko_23024_TCRB.tsv,-0.06574523501509286
Brusko_23068_TCRB.tsv,-0.07094091242481942
Brusko_23071_TCRB.tsv,-0.06088281478067229
Brusko_23072_TCRB.tsv,-0.073700035663339
Brusko_23094_TCRB.tsv,-0.0644301900337831
Brusko_23103_TCRB.tsv,-0.06673645324209927
Brusko_23113_TCRB.tsv,-0.058926836022153
Brusko_23126_TCRB.tsv,-0.061081454121307194
Brusko_23136_TCRB.tsv,-0.06786488209995534
Brusko_23255_TCRB.tsv,-0.06999734408712573
Brusko_23257_TCRB.tsv,-0.0738325138778741
Brusko_23281_TCRB.tsv,-0.06851233728282195
Brusko_23282_TCRB.tsv,-0.057492489409419596
Brusko_23283_TCRB.tsv,-0.059426229733444094
Brusko_23298_TCRB.tsv,-0.05987510002062259
Brusko_23342_TCRB.tsv,-0.06267242929494123
Brusko_23448_TCRB.tsv,-0.073273210310486
Brusko_23477_TCRB.tsv,-0.07331769871446843
Brusko_23478_TCRB.tsv,-0.05950068397720111
Brusko_23479_TCRB.tsv,-0.05847763247118135
Brusko_2348_TCRB.tsv,-0.05724308978598621
Brusko_2350_TCRB.tsv,-0.06933172554713125
Brusko_23522_TCRB.tsv,-0.06794082629942277
Brusko_23523_TCRB.tsv,-0.06494520908214367
Brusko_2354_TCRB.tsv,-0.06228369869142195
Brusko_23573_TCRB.tsv,-0.07151624338624445
Brusko_23575_TCRB.tsv,-0.07906348063832157
Brusko_23576_TCRB.tsv,-0.0663254501800723
Brusko_23577_TCRB.tsv,-0.0673025959894303
Brusko_23578_TCRB.tsv,-0.08003272162053582
Brusko_2357_TCRB.tsv,-0.06213191245440327
Brusko_23593_TCRB.tsv,-0.06435100768358792
Brusko_23819_TCRB.tsv,-0.07764637888589881
Brusko_23871_TCRB.tsv,-0.06965788847862857
Brusko_23894_TCRB.tsv,-0.06757017799678189
